# Mimaki 3DUJ-safe color manifest
# ICC profile     : C:\Windows\System32\spool\drivers\color\CoatedFOGRA39.icc
# deltaE threshold: 0.75
# Safe chromatic  : 188
# K-ramp added    : 7
# Total swatches  : 195
# Sorted by hue.
# Columns: NAME | #HEX | RGB | CMYK% | dE
#--------------------------------------------------------------------------------------------
deep-dusty-red-03          | #492A34 | RGB( 73, 42, 52) | CMYK( 51, 86, 48, 69)% | dE=0.74
deep-dusty-red             | #65444E | RGB(101, 68, 78) | CMYK( 48, 71, 45, 48)% | dE=0.00
mid-dusty-red              | #825F69 | RGB(130, 95,105) | CMYK( 42, 61, 40, 30)% | dE=0.00
soft-dusty-red             | #D98EA5 | RGB(217,142,165) | CMYK( 13, 55, 19,  0)% | dE=0.41
soft-dusty-red-02          | #E0B8C3 | RGB(224,184,195) | CMYK( 12, 35, 15,  0)% | dE=0.75
mid-vivid-red              | #E44D88 | RGB(228, 77,136) | CMYK(  2, 84, 14,  0)% | dE=0.51
mid-vivid-red-02           | #C1296B | RGB(193, 41,107) | CMYK( 18, 98, 26,  6)% | dE=0.52
deep-fair-red              | #8D244F | RGB(141, 36, 79) | CMYK( 30,100, 36, 32)% | dE=0.32
mid-fair-red               | #AE436A | RGB(174, 67,106) | CMYK( 25, 86, 32, 13)% | dE=0.32
mid-fair-red-02            | #CF6187 | RGB(207, 97,135) | CMYK( 16, 75, 24,  2)% | dE=0.32
soft-fair-red              | #F180A5 | RGB(241,128,165) | CMYK(  0, 64, 11,  0)% | dE=0.45
deep-dusty-red-02          | #7A384E | RGB(122, 56, 78) | CMYK( 37, 85, 41, 41)% | dE=0.42
mid-dusty-vermilion-04     | #A27C7F | RGB(162,124,127) | CMYK( 32, 51, 37, 18)% | dE=0.72
mid-fair-vermilion-03      | #B04457 | RGB(176, 68, 87) | CMYK( 23, 86, 51, 14)% | dE=0.50
deep-dusty-vermilion-02    | #7C3842 | RGB(124, 56, 66) | CMYK( 33, 85, 56, 43)% | dE=0.00
